year,BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp85_r1i1p1
2034,4.909391,3.3020191,4.3130484,3.6187098,3.6852682,3.6654825,3.6055987,3.6351483,3.7090986,4.068239,3.8518748,3.477187,2.8570387,3.269566,3.4481254,4.5330024,3.6035936,3.4205303,3.4544737,3.8133836,3.8484933,4.858043,2.8255234,3.4453647,3.2470586,3.4835002,4.139299,3.3119447,4.532819,3.3604667,3.0965872,3.422095,3.7581484,3.4049296,3.7676365,2.962029,4.299548,3.6952329,4.162248,2.6831307,3.080238
2035,3.8745735,3.350778,4.2921705,3.6528459,3.0859,3.7260015,3.5571916,4.059448,3.4870315,3.7310712,3.6591306,3.1367326,3.0367599,5.389017,4.1171336,3.530593,3.199211,3.7127733,3.6774004,2.834711,4.061179,2.907936,2.4762535,4.047601,3.5565555,4.563057,3.9063644,2.780164,2.882683,2.6987414,2.9534924,3.5829198,3.1023247,4.0713882,3.905163,4.2103887,4.09271,3.4102905,3.551102,2.6936984,2.9322493
2036,4.128849,2.9358954,4.210916,2.9503362,3.3635902,2.440362,3.67485,3.0904224,3.95476,3.9679523,3.2023723,4.769985,3.5504537,2.6433506,3.6141677,3.3771887,3.1553042,3.8524334,4.269592,3.5958855,3.359724,3.7012541,2.763591,3.4892304,4.0437655,3.3587668,4.117221,3.4084802,3.4630997,3.9062185,2.7217736,3.6566055,3.2202537,4.169289,3.8943331,4.052772,3.7438436,3.044382,3.1420643,3.115453,3.6576524
2037,3.6143227,3.6185179,4.8109703,2.9911191,3.4413872,3.2693512,4.064285,3.3721032,3.863507,3.104734,3.7131932,3.888819,3.896766,3.0954669,3.99983,2.1036184,3.5101223,4.3119516,3.481471,4.3776603,4.0274467,3.6521559,3.1654675,3.262813,3.5043006,4.1750565,3.8107336,4.11225,4.426542,4.2057037,4.314226,3.5471354,3.2594643,3.367851,3.5769145,4.4614043,3.1742995,3.5471308,3.5570247,3.706549,4.1619663
2038,3.0562782,3.3335745,4.4209485,2.749496,3.9767933,3.7826383,2.903741,4.3423824,3.2988074,4.0475683,4.0362906,3.6601608,3.117549,2.6963305,4.5255017,3.1601582,3.5105724,3.2380137,4.3530707,3.2042046,3.7884762,3.793147,3.0553534,2.8231282,3.9773285,3.4863408,3.192762,3.447211,3.7548923,3.0181892,3.6997337,3.1317172,3.362331,3.2845702,4.130919,3.496041,3.5869896,3.6361012,3.6866207,3.8643568,4.5225134
2039,3.7387905,3.387096,3.188988,4.688127,4.155042,3.1634285,3.881214,3.4556072,4.2203436,3.787593,3.0921328,3.723991,4.308649,2.9707165,3.612381,4.147903,3.5897257,2.5978413,4.5504246,4.4144406,2.7177472,4.456186,4.6030273,3.4583418,3.0253108,3.8746724,3.5868928,3.0436387,3.4446118,3.456203,2.9528806,3.7263236,3.3670473,3.4566753,4.0836,3.3439429,3.0230837,4.5441275,3.8173842,3.8628564,2.9801
2040,3.406222,3.3619032,3.7374845,3.894916,4.2891545,3.1760705,4.8053937,4.3108783,3.808451,3.157908,5.183101,5.109293,4.255475,3.2261603,3.8378706,3.301093,4.1256084,2.50233,3.8923519,4.146802,3.553882,3.2743287,3.4609795,3.8730319,3.0274117,3.103149,4.1817536,3.4036877,3.577806,3.650761,2.9378684,3.4313247,4.941374,3.9063623,3.3893118,3.6836255,4.2880945,2.499096,3.1101854,3.7018116,3.0378656
2041,3.5797946,3.0529099,4.0273557,2.7301965,3.8069267,3.0629752,3.533816,4.068258,4.0146923,3.8407726,3.7094796,4.7360916,3.5568836,4.908065,4.2097116,3.5544176,3.152021,3.4353125,3.1655586,3.0397015,4.186129,3.6818707,3.031666,3.8648548,3.4175355,3.711484,3.400965,3.22459,3.422433,3.0460935,3.7384138,4.785993,4.1757717,3.829292,3.35433,3.794303,3.5316577,3.2888658,3.5720756,3.968963,4.047495
2042,4.493623,3.7235665,3.071051,2.849601,3.8608172,4.143325,4.1006265,3.6942792,3.8272622,4.2704935,5.120805,2.7224112,2.8555741,3.2492213,3.5187507,3.355334,3.7424967,4.0617466,2.8218021,3.944428,3.1593716,2.911567,3.5229182,3.3969681,3.2899604,4.2344007,3.203661,3.676811,4.5726438,3.5425286,4.3979936,3.7331758,3.7757401,3.311495,3.4358606,3.8184376,3.2821238,3.8103561,3.696364,3.190018,3.4332447
2043,4.2792354,3.9600854,4.1466703,3.6705046,3.1187022,3.2736151,3.1733081,2.612854,4.0431004,3.32403,3.9760306,3.3131082,3.5729895,3.9532661,3.7958117,2.3576121,4.018456,3.161257,3.965259,3.082653,3.9215322,3.0547855,3.3656166,3.016546,2.8966684,3.2886224,4.2096868,4.514643,4.1224694,3.6759589,4.36562,3.4624782,4.654043,4.378315,3.8940818,3.7358088,4.127582,3.6007712,3.290931,3.54476,2.7598202
2044,3.7181928,3.4390693,3.1470485,4.727502,3.3973699,3.9990585,3.1699238,3.7788699,3.7327163,2.7756405,3.808766,3.931278,4.113912,2.723793,4.6943283,3.5052896,3.4055197,3.7355335,4.640868,3.9075768,4.593872,3.9171686,3.724579,4.439653,3.765791,3.7294552,3.1131065,3.8615305,3.1901324,4.3143444,3.6784985,3.6483572,4.061969,3.8928375,4.012163,4.336389,5.110281,3.8030758,4.2567325,3.958797,2.9153512
