year,BCCA_0-125deg_pr_day_ACCESS1-0_historical_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_historical_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_historical_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_historical_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_historical_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_historical_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_historical_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_historical_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_historical_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_historical_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_historical_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_historical_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_historical_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_historical_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_historical_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_historical_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_historical_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_historical_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_historical_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_historical_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_historical_r1i1p1
1994,4.0499654,2.5068932,3.2985816,3.2121353,3.6353686,3.0883043,3.6434038,3.8397777,3.4505384,2.5696278,4.467556,3.588931,3.0179877,3.9509673,2.2638648,2.7629542,3.3051364,2.5638115,3.3741934,3.0852935,3.388131
1995,3.3290617,4.1481214,3.1950846,3.6914623,4.086616,2.9268317,4.491013,3.1664422,4.1069856,3.9843771,3.3854141,3.5890472,3.1547883,2.9418173,3.583797,2.9784498,3.549259,3.1710432,3.6485279,3.8723037,2.6019456
1996,3.0428991,4.2688146,2.519339,4.2300415,3.632937,3.1292553,4.416827,3.291487,4.3597455,4.2189145,3.2187083,3.3697827,2.8875318,2.449932,3.9213016,3.5468647,3.9816275,3.6002672,3.7453098,4.735029,3.3281906
1997,3.6276925,3.9843721,3.4780884,2.9764621,3.3649397,2.9991899,3.3960025,3.054978,3.3513796,3.4749517,3.4956827,3.75216,2.6994681,3.2138498,3.2320325,3.992202,3.9549356,3.1554542,4.2604246,4.3804584,2.7805135
1998,3.2302277,3.9009058,3.2633703,2.8586802,3.4721856,3.714247,2.9628608,3.9369817,3.7360792,3.6828535,3.5920427,3.137168,3.1863477,4.0777164,3.4743872,3.8349273,2.9598556,3.37031,4.0333395,3.4907353,3.1354415
1999,4.0152187,3.4635587,3.0894196,3.4830928,3.3705397,3.0085783,3.634574,3.2517467,3.6081288,3.3854167,3.7441392,2.9077902,3.4889,3.7656555,2.8891504,4.097686,3.899008,3.6699934,4.3179092,3.974761,3.639132
2000,3.8624656,3.6299036,3.149263,3.6895044,3.1226962,3.147819,2.9757035,3.2295933,3.5577834,4.2335362,3.589856,3.4111602,3.569367,3.7446535,3.0154946,3.7555702,4.0970345,3.0328815,3.6178064,3.472512,2.839658
2001,3.3739605,3.478776,4.764487,3.8596735,3.1245203,3.7113318,4.056514,4.139844,4.031038,3.0393684,3.7199116,3.577612,4.175718,3.0108948,2.927188,3.9318404,5.53574,3.9779394,3.7036793,3.8528519,3.853427
2002,3.5500991,3.5239227,4.1435475,3.979592,2.6085598,3.296694,3.1413991,3.6434236,4.1568866,3.5767384,4.301636,2.977221,3.225463,4.14293,2.802113,3.455325,3.0712898,3.905145,4.002255,3.4746149,3.2216852
2003,3.525299,3.7283373,3.5753114,2.4390123,5.1011643,3.2136447,2.5262613,3.65315,3.4910297,3.276515,2.7081606,2.836842,3.6371543,2.995241,3.8451223,3.2533371,2.742982,3.5835433,3.6473045,3.067948,3.1684427
2004,3.8183675,3.519733,4.1534433,3.1201122,3.7282343,4.3413243,4.085659,3.454369,3.952972,3.315775,3.2927206,2.8009868,3.426232,3.6647813,3.236491,4.079961,2.4263592,3.7561646,3.8831496,3.5130243,3.1329985
2005,3.4120994,4.02249,3.2125442,4.2774453,3.3113823,3.420824,3.5999773,3.6098013,2.6850193,4.343377,3.430627,3.503683,4.114247,3.9326007,3.9601378,3.6064506,3.491171,3.6120965,2.6510546,3.3213084,4.2354317
