year,ACCESS1-0_historical_r1i1p1-cooling_degree_day,bcc-csm1-1_historical_r1i1p1-cooling_degree_day,BNU-ESM_historical_r1i1p1-cooling_degree_day,CanESM2_historical_r1i1p1-cooling_degree_day,CCSM4_historical_r1i1p1-cooling_degree_day,CESM1-BGC_historical_r1i1p1-cooling_degree_day,CNRM-CM5_historical_r1i1p1-cooling_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-cooling_degree_day,GFDL-CM3_historical_r1i1p1-cooling_degree_day,GFDL-ESM2G_historical_r1i1p1-cooling_degree_day,GFDL-ESM2M_historical_r1i1p1-cooling_degree_day,inmcm4_historical_r1i1p1-cooling_degree_day,IPSL-CM5A-LR_historical_r1i1p1-cooling_degree_day,IPSL-CM5A-MR_historical_r1i1p1-cooling_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-cooling_degree_day,MIROC-ESM_historical_r1i1p1-cooling_degree_day,MIROC5_historical_r1i1p1-cooling_degree_day,MPI-ESM-LR_historical_r1i1p1-cooling_degree_day,MPI-ESM-MR_historical_r1i1p1-cooling_degree_day,MRI-CGCM3_historical_r1i1p1-cooling_degree_day,NorESM1-M_historical_r1i1p1-cooling_degree_day
1991,359.92273,474.47467,254.53397,349.11603,357.35074,375.41327,325.15656,375.9883,327.97467,400.29593,401.35583,279.68283,410.14413,403.41586,315.88333,330.0317,264.9542,446.88904,430.0756,309.9756,398.51797
1992,314.3661,228.4081,244.45888,259.37946,269.91165,263.98578,282.1301,258.51276,271.9781,302.06796,245.00177,309.00082,438.43787,271.1891,216.69916,255.09792,258.41226,361.29605,308.08792,306.5378,299.9991
1993,311.92862,329.42236,270.17947,275.48782,282.3284,286.5681,340.06592,309.9101,437.32162,333.2122,357.70743,303.48355,346.06097,424.8961,292.19925,293.30768,286.59927,313.1678,334.69263,364.61072,314.55603
1994,313.49463,483.59946,503.69058,306.64044,377.10843,368.21545,331.4827,323.19934,399.56134,321.07794,417.89926,400.37918,308.0346,307.9614,292.14737,255.64294,376.1309,417.6884,311.00656,293.3713,471.8194
1995,318.514,289.95517,386.01297,260.48654,400.23828,266.309,334.54358,371.94275,423.72913,320.14963,319.00577,382.40097,470.42416,296.0055,374.18192,323.88632,341.4163,458.59137,343.77356,340.1644,306.93494
1996,411.15494,265.05713,392.07684,340.55594,448.22302,327.3132,268.68832,364.2679,348.09683,356.5165,253.79533,342.3836,413.2549,412.8212,338.2279,393.22736,260.78046,449.8434,339.79803,401.87833,333.47366
1997,403.19818,250.1921,357.37686,391.87378,368.92606,390.26447,286.2063,344.88953,422.50388,415.49283,362.71124,447.22302,416.0817,390.98477,360.44415,413.8274,427.3401,453.80835,378.26102,374.88162,303.81256
1998,356.19766,315.72958,382.10696,385.96768,426.03882,505.06006,362.45792,275.448,369.18442,340.15112,280.3089,440.8781,486.44595,447.67746,360.21518,341.63882,293.99844,443.18674,363.76416,318.41977,350.5114
1999,423.52426,417.2821,442.0697,320.44827,450.18433,425.37357,318.50577,421.16287,367.46405,348.8064,369.78345,333.949,472.45535,488.64224,401.95786,397.07578,403.42227,408.08212,448.53516,377.76233,327.20108
2000,425.65976,421.0367,496.37915,446.24518,520.4782,379.04892,493.00482,454.26868,363.79395,385.73816,360.22745,507.79178,442.0782,351.2987,360.61182,344.8156,380.04898,486.79736,464.678,344.69888,384.38928
2001,355.3989,383.51108,407.20013,370.7181,354.6609,320.2063,370.83972,410.71478,325.97372,461.08813,416.3075,377.86475,412.51913,431.97763,329.63538,405.93713,408.637,444.4384,416.02597,334.2377,435.73416
2002,352.57648,356.62186,405.59122,451.23438,443.9873,408.23746,340.68213,381.44147,392.72256,377.61322,336.62943,296.49658,412.17365,431.9847,325.97922,324.65594,423.42105,454.7084,439.96542,347.9493,418.46512
2003,438.99777,382.35773,501.16663,392.90378,367.82953,390.63043,358.3846,437.83127,367.56873,374.00247,409.05783,336.78723,444.22644,360.49362,411.49612,330.54642,383.62805,450.0752,490.68756,405.01962,346.51968
2004,390.12463,453.54587,574.62976,406.5296,383.37006,375.4944,314.47107,419.85443,493.604,387.31396,414.57312,451.48853,412.39865,352.46207,366.86304,307.21335,442.7356,402.7937,479.92984,342.1691,350.19815
