year,ACCESS1-0_historical_r1i1p1-growing_season_lngth,bcc-csm1-1_historical_r1i1p1-growing_season_lngth,BNU-ESM_historical_r1i1p1-growing_season_lngth,CanESM2_historical_r1i1p1-growing_season_lngth,CCSM4_historical_r1i1p1-growing_season_lngth,CESM1-BGC_historical_r1i1p1-growing_season_lngth,CNRM-CM5_historical_r1i1p1-growing_season_lngth,CSIRO-Mk3-6-0_historical_r1i1p1-growing_season_lngth,GFDL-CM3_historical_r1i1p1-growing_season_lngth,GFDL-ESM2G_historical_r1i1p1-growing_season_lngth,GFDL-ESM2M_historical_r1i1p1-growing_season_lngth,inmcm4_historical_r1i1p1-growing_season_lngth,IPSL-CM5A-LR_historical_r1i1p1-growing_season_lngth,IPSL-CM5A-MR_historical_r1i1p1-growing_season_lngth,MIROC-ESM-CHEM_historical_r1i1p1-growing_season_lngth,MIROC-ESM_historical_r1i1p1-growing_season_lngth,MIROC5_historical_r1i1p1-growing_season_lngth,MPI-ESM-LR_historical_r1i1p1-growing_season_lngth,MPI-ESM-MR_historical_r1i1p1-growing_season_lngth,MRI-CGCM3_historical_r1i1p1-growing_season_lngth,NorESM1-M_historical_r1i1p1-growing_season_lngth
1984,362.13263,318.20032,349.13782,366.0,335.7097,342.4051,324.358,355.1031,345.09186,351.3527,348.99753,365.43533,328.24982,356.04364,339.06592,327.2731,345.11618,352.7422,356.00943,353.16714,340.48138
1985,337.73502,335.185,343.93997,363.28635,339.9134,362.24628,351.1272,357.38132,348.78845,354.38934,356.852,360.17398,361.31522,352.87567,364.16254,313.87112,361.13876,358.24808,357.7759,340.5126,328.65424
1986,340.9646,359.27875,354.8728,330.1424,364.97302,332.9092,339.14017,348.32544,344.66116,339.99026,364.1852,346.27322,363.42123,319.50983,365.0,341.67206,353.27533,365.0,352.3806,362.97263,364.1047
1987,352.59677,357.5691,341.59927,351.47134,304.7308,357.9323,365.0,359.3164,364.5684,362.68182,364.51755,342.9108,347.98566,338.62115,365.0,329.92758,358.0392,363.03717,364.3718,312.22995,323.4429
1988,347.8391,335.19632,365.87085,357.24054,295.36206,344.22665,350.0489,360.65063,338.22995,347.0672,332.10916,336.66058,345.76727,320.90286,330.37735,336.32828,350.2461,327.09604,333.98688,358.27393,339.7691
1989,349.0904,347.2884,349.469,341.9615,312.07538,333.12302,346.91168,328.5983,357.0455,352.9381,315.49368,325.578,339.28754,353.6627,363.98596,337.0894,357.50067,359.63202,332.3743,362.56595,360.31702
1990,358.03308,333.08887,364.71677,330.46878,343.32074,363.77908,351.33105,343.32138,339.35684,365.0,361.50378,331.96115,356.7928,364.5414,365.0,334.626,346.17828,357.353,303.13025,348.40506,346.57117
1991,362.7543,349.65274,352.1951,357.1944,348.8657,334.99448,340.5185,356.41223,357.82043,352.0559,354.6112,341.9438,365.0,362.94327,322.34216,362.06757,345.6129,308.68683,355.62915,364.6913,336.1813
1992,342.69406,320.3593,334.45813,346.93777,310.6853,347.41797,365.60803,353.25388,344.6042,358.36072,349.94403,357.5676,365.9865,295.59067,365.23453,338.88885,338.76968,346.48517,342.9715,322.85428,332.7517
1993,323.4041,364.28516,363.5014,357.20563,348.3512,313.78445,364.46048,357.40817,353.96622,332.02783,344.98718,341.89914,361.903,361.9265,344.80933,365.0,317.8282,331.1231,362.22394,363.12943,343.25082
