year,ACCESS1-0_historical_r1i1p1-heating_degree_day,bcc-csm1-1_historical_r1i1p1-heating_degree_day,BNU-ESM_historical_r1i1p1-heating_degree_day,CanESM2_historical_r1i1p1-heating_degree_day,CCSM4_historical_r1i1p1-heating_degree_day,CESM1-BGC_historical_r1i1p1-heating_degree_day,CNRM-CM5_historical_r1i1p1-heating_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-heating_degree_day,GFDL-CM3_historical_r1i1p1-heating_degree_day,GFDL-ESM2G_historical_r1i1p1-heating_degree_day,GFDL-ESM2M_historical_r1i1p1-heating_degree_day,inmcm4_historical_r1i1p1-heating_degree_day,IPSL-CM5A-LR_historical_r1i1p1-heating_degree_day,IPSL-CM5A-MR_historical_r1i1p1-heating_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-heating_degree_day,MIROC-ESM_historical_r1i1p1-heating_degree_day,MIROC5_historical_r1i1p1-heating_degree_day,MPI-ESM-LR_historical_r1i1p1-heating_degree_day,MPI-ESM-MR_historical_r1i1p1-heating_degree_day,MRI-CGCM3_historical_r1i1p1-heating_degree_day,NorESM1-M_historical_r1i1p1-heating_degree_day
1987,2893.1216,2283.7134,3012.0793,2404.066,2825.5508,2344.0444,2550.194,2691.6992,2508.8787,2387.8994,2512.428,2600.0417,2416.9768,2550.735,2447.5251,2639.9692,2321.2354,2479.4324,2573.2114,2816.442,2447.7197
1988,2359.8918,2707.1794,2487.7468,2423.734,2881.1382,2560.312,2657.5598,2621.5479,2926.4365,2537.0945,2831.3882,2518.688,2425.1023,2701.8584,3011.1287,2522.364,2582.024,2861.0542,2524.0317,2578.263,2497.5872
1989,2312.724,2398.228,2541.0227,2463.727,2444.2383,2711.8354,2417.4043,2602.413,2332.225,2337.693,2714.0962,2757.951,2493.2087,2427.1438,2748.3757,3006.8552,2284.5479,2304.948,2701.6553,2624.572,2454.6174
1990,2460.9397,2440.7437,2212.314,2725.2686,2610.6597,2349.8757,2926.1216,2539.7466,2624.7205,2555.4329,2313.6545,2817.4001,2558.3645,2095.1367,2610.141,2911.837,2571.3586,2197.1973,2874.815,2773.784,2750.8555
1991,2399.5942,2408.8794,2368.5513,2329.411,2417.6082,2649.8767,2752.2236,2416.7942,2560.45,2450.1228,2455.038,2535.9622,2104.4043,2327.007,2622.9358,2018.4961,2614.903,2923.5671,1947.8762,2396.4854,2229.0962
1992,2339.5986,2813.4626,2949.7786,2758.073,3048.655,2996.1245,2754.9954,2769.8494,2814.9841,2831.9065,3000.2405,2849.5923,2172.9497,2778.602,2471.0337,2572.933,2838.4119,2439.0122,2454.0056,2773.6587,2877.7239
1993,2584.5647,2555.3994,2525.5266,2713.3293,2931.0244,2591.7551,2452.9658,2565.3906,2631.4368,2971.421,2524.3035,2547.081,2359.3792,2511.7104,2586.9568,2464.3306,2848.6008,2523.1028,2725.2415,2457.3525,2871.4944
1994,2709.9749,2619.8218,2363.7256,2192.2454,2521.4312,2250.6213,2422.7568,2404.3096,2819.1655,2426.2756,2261.9543,2582.7217,2590.206,2406.5518,2545.4707,2453.7693,2582.9536,2779.9192,2948.7725,2802.835,2621.5835
1995,2546.031,2807.628,2743.571,2457.5127,2175.9539,2577.1094,2575.594,2384.679,2404.4712,2635.5278,2354.382,2638.601,2696.0137,2580.7405,2752.2886,2473.1348,2335.0652,2180.2927,2338.01,2759.044,2650.1636
1996,2165.956,2428.1248,2661.9412,2495.0796,1990.3058,2531.8025,2340.2375,2657.699,2728.7278,2263.7717,2702.0637,2465.1174,2332.9656,2411.7668,2690.884,2478.4553,2732.0276,2284.9973,2627.2634,2549.1782,2914.914
1997,2154.593,2740.1655,2464.9758,2467.5503,2308.6106,2670.6055,2716.913,2613.6953,2595.3806,2508.0645,2605.3828,2674.8284,2196.818,2445.5872,2249.1936,2411.0215,2582.2688,2142.1956,2650.8616,2633.5415,2508.6355
1998,2506.4065,2665.8982,2245.2068,2422.9854,2250.2205,2290.372,2481.0,2587.443,2591.3184,2439.7976,2381.7087,2766.8838,2615.7554,2144.179,2503.6038,2227.766,2427.4666,2617.0854,2591.5198,2650.281,2442.2031
1999,2215.6897,2637.1687,2252.5042,2519.2852,2344.456,2292.2944,2249.5203,2366.3315,2716.7026,2683.9165,2303.873,2666.1887,2296.3706,2352.717,2731.257,2270.8098,2313.064,2690.7356,2418.6462,2461.075,2225.6318
2000,2104.7344,2562.7654,2684.812,2238.385,2360.5276,2436.1978,2331.051,2659.4844,2839.1406,2497.4854,2406.363,2294.9006,2288.739,2484.9092,2698.655,2290.6895,2666.0732,2222.803,2556.8062,2647.794,2700.2249
2001,2675.1072,2545.6462,2716.012,2771.3384,2427.2498,2604.733,2299.681,2699.0212,2696.65,2268.4197,2521.0967,2554.956,2349.4448,2445.5906,2701.9316,2368.121,2554.8572,2609.1594,2329.6946,2359.8423,2110.7148
2002,2344.873,2765.8333,2190.7166,2396.038,2718.1658,2465.624,2549.1985,2369.127,2613.346,2575.1743,2622.5166,2452.7412,2414.7615,2314.8037,2541.222,2447.4023,2225.1084,2070.058,2663.672,2571.7356,2348.5227
2003,2814.571,2581.0452,2360.7053,2710.7368,2155.9553,2480.2737,1922.5094,2484.8796,2577.2344,2332.223,2592.0623,2285.4973,2292.2686,2796.9456,2431.4695,2570.5361,2389.1736,2594.2266,2049.0212,2697.1802,2663.828
2004,2748.393,2776.0178,2271.206,2513.1277,2685.2224,2635.0056,2544.384,2305.4082,2499.8662,2115.5913,2104.9424,2745.5562,2610.19,2621.3923,2296.8813,2454.1262,2282.2778,3002.8792,2306.2156,2458.6497,2746.8276
