year,ACCESS1-0_historical_r1i1p1-days_tmin_blw,bcc-csm1-1_historical_r1i1p1-days_tmin_blw,BNU-ESM_historical_r1i1p1-days_tmin_blw,CanESM2_historical_r1i1p1-days_tmin_blw,CCSM4_historical_r1i1p1-days_tmin_blw,CESM1-BGC_historical_r1i1p1-days_tmin_blw,CNRM-CM5_historical_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_historical_r1i1p1-days_tmin_blw,GFDL-CM3_historical_r1i1p1-days_tmin_blw,GFDL-ESM2G_historical_r1i1p1-days_tmin_blw,GFDL-ESM2M_historical_r1i1p1-days_tmin_blw,inmcm4_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_historical_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_historical_r1i1p1-days_tmin_blw,MIROC-ESM_historical_r1i1p1-days_tmin_blw,MIROC5_historical_r1i1p1-days_tmin_blw,MPI-ESM-LR_historical_r1i1p1-days_tmin_blw,MPI-ESM-MR_historical_r1i1p1-days_tmin_blw,MRI-CGCM3_historical_r1i1p1-days_tmin_blw,NorESM1-M_historical_r1i1p1-days_tmin_blw
1962,0.25612077,1.0025897,1.659725,0.27320793,0.3813329,1.5149287,0.026975462,0.0,0.0,0.44077688,0.0,0.31357813,0.52566725,0.7715885,0.013487731,1.951371,1.9488734,0.04277674,0.61878115,1.3096544,0.0
1963,0.08982523,1.8877032,0.04277674,0.0,0.0,4.2677097,0.0,0.0,0.0,0.0,0.0,0.76048476,0.0,0.94551045,0.21639568,0.013487731,0.79009575,4.451292,0.09259774,0.10406692,0.0
1964,0.21670534,0.24865507,1.3560729,0.0,0.25510535,0.7936338,0.9726949,0.084966786,0.0,1.1600403,0.0,0.9964114,7.0309205,0.0,0.0,0.75411004,0.026975462,1.7492242,0.013487731,2.7501903,0.0
1965,1.9530336,0.0,1.1941869,0.1663194,0.14697368,0.0,0.029289013,4.3859167,0.32261598,0.0,0.07015666,1.7262548,2.1331258,1.9829236,0.0,0.5756605,0.0,0.8136538,0.10524858,0.83972883,0.98132235
1966,0.54108596,0.026975462,0.641581,0.14811155,0.0,0.013487731,0.0,0.34831098,7.1199703,0.0,0.026975462,0.8395067,0.04277674,8.6342625E-4,0.026975462,0.0,0.0,1.0922295,0.013487731,0.8941774,0.13129982
1967,0.0,0.04277674,2.7901878,1.5169132,0.16064665,0.0,0.2962859,0.11148328,2.2048166,2.2873874,0.0,0.072962664,0.0697522,0.0571279,0.013487731,0.01580128,0.0,3.7589154,0.22052449,0.4470922,1.2785847
1968,1.0269755,3.913638,2.0348141,1.2032725,0.013487731,0.45763984,0.013487731,0.0571279,2.7273443,0.0,0.0,0.04277674,0.42772117,0.5126652,0.0,0.0,1.7911409,0.5744528,0.026975462,0.013487731,0.70353186
1969,0.1523342,2.4820073,1.3754462,0.101388246,0.6040365,2.4302652,0.28121737,0.32133552,0.08450782,1.4151664,2.3868625,0.040463194,0.030152438,0.040463194,0.0,0.12188675,0.0,0.66390705,0.517452,0.0,0.0
1970,4.412236,1.099354,0.056668937,0.013487731,1.5186384,0.49509335,0.0,0.0,0.22425038,0.0,0.0,0.2806243,0.0,0.04277674,0.3633862,0.14185032,1.5281341,0.026975462,0.026975462,4.4036374,0.026975462
1971,0.61948854,1.0099537,0.11019495,0.10417639,0.0571279,2.1174314,2.0003285,0.056264475,0.39914626,0.0,0.4009488,2.2121928,0.030152438,0.0,0.01580128,0.026975462,0.7674955,0.030152438,0.18323939,0.94888073,0.026975462
1972,0.27144134,0.43260217,0.8897941,0.99820876,1.0945784,0.0,0.0,2.187622,0.029289013,0.0,0.45346564,0.026975462,0.013487731,0.4397025,0.13132498,0.06870654,0.013487731,1.6126276,0.026975462,1.5576807,0.0
1973,0.013487731,0.0,0.0,0.30113605,4.9818044,0.53749907,0.92616135,0.0,0.0,0.040463194,0.04277674,1.34885,0.32410803,1.2054708,0.01580128,0.030152438,0.040463194,0.0,0.013487731,0.0,0.8922636
1974,0.013487731,0.013487731,0.119573206,0.48037115,0.013487731,0.0,1.2322979,3.7468429,0.6631989,3.363657,1.0865501,0.199184,1.4923052,1.1976275,1.7738429,0.44039905,0.22575852,0.04364017,0.52275985,2.0436401,0.70023304
1975,0.029289013,1.0763456,0.0,0.029289013,0.029289013,0.04277674,0.0,0.07709146,0.0,1.1608105,0.49828056,0.0,0.39692655,0.013487731,3.5922148,0.59787434,0.5600665,0.12392536,0.6871238,0.026975462,0.18707319
1976,0.5744528,0.84263206,0.013487731,0.73979944,1.6378559,0.0,1.1499063,7.7135415,1.3598555,0.0,0.0,0.9287415,0.013487731,0.27660063,0.0,0.22817801,0.0,0.0,0.21080601,0.026975462,0.0
1977,0.026975462,0.0,0.013487731,0.75400776,0.22017731,0.0,0.026975462,0.48046038,0.31376767,0.0,0.013487731,0.06854565,0.2634107,0.0,0.0,8.6342625E-4,0.07709146,0.04364017,0.0,4.9547706,0.35679582
1978,1.0647589,0.013487731,0.22933644,0.15692075,0.0,1.4767643,0.026975462,0.0,0.0,0.44804484,0.013487731,0.35841864,0.10417639,0.029289013,0.026975462,0.0,0.0,0.6107843,0.026975462,0.0,1.1692345
1979,1.6611995,0.15496255,0.4280021,1.1993879,0.0,0.73574674,5.422446,1.8731453,0.0,0.0,1.0026054,0.08410336,0.04364017,0.0,0.0,0.0,0.027838888,0.51922923,0.029289013,0.04364017,0.013487731
1980,0.03160256,0.04364017,0.14684367,0.8730713,1.23449,0.32826588,0.0,0.056264475,0.6151215,1.4668834,0.0,3.4692712,0.040463194,0.0,0.0,0.0,0.0,1.5951152,0.97944677,2.3486855,0.42327878
1981,0.040463194,0.6015715,1.5620297,0.029289013,0.029289013,0.0,0.013487731,1.4164013,0.072962664,0.0,1.0940253,0.04277674,0.37086037,0.0,0.01580128,0.013487731,0.20753981,0.3582786,0.8863684,0.013487731,0.0
1982,0.13115184,1.2110711,1.9874024,1.6902254,0.21267173,0.013487731,0.029289013,0.13728568,0.7306611,0.0,2.8209913,0.2917407,0.42197654,0.01580128,0.013487731,0.37522864,0.0143511575,0.013487731,3.6536562,0.5609651,0.9268432
1983,2.6455457,1.7907543,0.026975462,0.013487731,0.50201666,0.14534211,0.3785902,0.48104924,0.0,0.4908216,0.013487731,1.6057906,1.4901482,0.889994,1.2255363,0.0,0.42027837,0.2599359,1.4957585,0.3585792,0.067438655
1984,0.10163149,1.6111664,0.026975462,0.66417027,2.9867525,0.0,0.20608996,0.0,0.0,0.34470466,0.0,0.040463194,2.143545,0.013487731,0.48520952,0.04277674,1.2593384,0.48690295,0.3676972,0.15851502,1.1749734
1985,0.17396203,0.5806438,1.4490669,0.40152025,0.013487731,0.01580128,0.38521633,0.30914873,0.0,0.11766411,0.0,0.0,0.0,2.2704246,0.6691625,1.5282011,0.0,0.013487731,0.0,2.1069245,0.58137053
1986,0.5749448,0.0,1.5066261,0.040463194,0.0,0.01580128,0.04364017,0.0,0.0,0.013487731,0.0,0.0,0.040463194,2.4457028,0.0,0.058578026,0.0,0.0,0.013487731,1.1994798,0.0
1987,0.50508064,0.0,3.0936148,0.013487731,0.08555348,0.0,0.013487731,0.0,0.14493458,0.055218812,0.0,0.026975462,0.013487731,0.33251753,0.0,0.026975462,0.0,0.68995214,1.6138475,1.4706125,0.4692484
1988,0.313328,0.18852778,0.0,1.1947607,0.5556441,0.0,1.02219,1.0098991,0.013487731,0.4106554,0.0,0.013487731,0.04364017,1.8465405,2.1314518,0.013487731,0.0,0.20839128,0.08555348,0.026975462,0.6688496
1989,0.013487731,0.09289274,0.026975462,0.013487731,1.9649565,1.1330504,0.013487731,0.38756764,0.0,0.0,0.013487731,1.4923172,0.9718194,0.0,0.178357,0.09144262,0.06870654,0.0,1.2909689,0.013487731,0.013487731
1990,1.3429103,0.08410336,0.1904536,0.0,1.5154078,0.0,0.01580128,2.8888638,0.0,0.34080094,0.0,3.2029674,0.04277674,0.0,0.013487731,0.3564184,0.0,0.0,0.31787333,0.47043702,0.013487731
1991,0.013487731,0.04364017,0.1760599,0.013487731,0.0,0.09289274,0.026975462,0.0,0.013487731,0.0,0.0,0.14343302,0.0,0.0,0.083239935,0.0,0.149068,1.1993932,0.0,0.09375617,0.0
1992,0.9733571,0.47831556,0.026975462,0.0,0.026975462,0.013487731,0.029289013,0.89062893,0.121171296,0.013487731,0.0,1.3067963,0.0905792,2.9185514,0.0,0.0,0.18389621,0.040463194,0.0,2.267275,1.0435802
1993,0.013487731,0.013487731,0.0,0.0,0.34735835,1.0914139,0.013487731,0.34831098,0.0,0.013487731,0.0,0.83525884,0.013487731,0.013487731,0.17922044,0.055218812,0.0,0.51039714,0.05944145,0.013487731,0.5810144
1994,3.5267835,2.0436401,0.7780117,0.18569627,0.0,0.026975462,0.04277674,0.013487731,0.54244816,0.0,0.0,0.0,0.738173,0.042924713,1.0158013,0.25203145,0.013487731,0.29703987,1.1140755,0.53751314,0.6240785
1995,3.017734,1.2173904,0.0,0.0,0.0,0.23401222,0.0,0.013487731,0.013487731,0.013487731,0.7841602,0.026975462,3.012947,0.030152438,0.12860696,0.29517,0.0,0.0,0.75504863,0.013487731,1.3422185
1996,0.026975462,1.3493476,3.7786283,0.013487731,1.1864156,0.61740106,0.29897684,0.0,0.030152438,0.0,0.056264475,1.1244122,2.1765382,0.0,0.31902197,0.09289274,0.09259774,0.14811155,0.889774,0.34703588,0.10926245
1997,0.1072439,0.7788845,0.029289013,0.14463958,0.07911001,0.20835277,0.4981732,0.29091832,0.0,0.0,0.41950342,0.029436983,2.0763714,0.0,0.013487731,0.09638453,0.04364017,0.0,0.54475725,1.4407768,1.7243484
1998,0.52009565,2.4519093,0.8248256,0.04277674,0.04364017,0.9197393,0.31065762,0.013487731,1.0877689,0.013487731,0.0,4.7358246,0.026975462,0.0,0.569259,0.0,0.5504273,0.0,0.060304876,0.45657817,0.0
1999,0.2905807,0.19716214,0.0,0.18993565,0.0,0.0,0.0,0.0,0.0836444,0.0,0.0,1.1452979,0.11766411,0.0,0.013487731,0.013487731,0.0,0.59633493,0.013487731,1.8442026,0.9829237
2000,0.0,1.5622462,0.0,1.444319,0.0,0.0,0.0,0.0,0.0,0.013487731,0.0,0.5533101,0.0,0.7403082,0.013487731,0.026975462,0.0,0.20033912,0.19990328,0.0,2.5982366
2001,1.7777376,0.0,1.0282542,0.8833178,0.0,0.49031433,0.056264475,0.23537312,0.14478755,0.0,1.9220532,0.013487731,0.0,0.8909836,0.21213956,0.7353464,0.8393287,8.6342625E-4,0.0,0.3992904,0.013487731
2002,0.0,0.026975462,0.0,0.013487731,0.0,0.4503584,0.56150854,0.013487731,0.38973033,0.16064665,0.05944145,0.026975462,0.16576804,0.01580128,0.042810224,0.0,0.0,0.013487731,2.4687076,0.8274879,0.013487731
2003,0.053950924,0.0,1.7683775,0.072065756,0.013487731,0.21267173,0.0,0.0905792,0.0,0.0,0.13471684,0.9368816,0.01580128,0.40191877,0.0,0.21076265,0.0,0.013487731,0.0,2.3444831,0.9302822
2004,0.9994812,1.0650626,1.8261904,0.0,0.32086706,0.027838888,1.3479012,0.0,0.013487731,0.42728916,0.0,1.3139286,0.0,0.026975462,0.09259774,0.0,0.0,3.1286008,0.0,0.18141581,0.23562324
