year,ACCESS1-0_historical_r1i1p1-days_prcp_abv,bcc-csm1-1_historical_r1i1p1-days_prcp_abv,BNU-ESM_historical_r1i1p1-days_prcp_abv,CanESM2_historical_r1i1p1-days_prcp_abv,CCSM4_historical_r1i1p1-days_prcp_abv,CESM1-BGC_historical_r1i1p1-days_prcp_abv,CNRM-CM5_historical_r1i1p1-days_prcp_abv,CSIRO-Mk3-6-0_historical_r1i1p1-days_prcp_abv,GFDL-CM3_historical_r1i1p1-days_prcp_abv,GFDL-ESM2G_historical_r1i1p1-days_prcp_abv,GFDL-ESM2M_historical_r1i1p1-days_prcp_abv,inmcm4_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-LR_historical_r1i1p1-days_prcp_abv,IPSL-CM5A-MR_historical_r1i1p1-days_prcp_abv,MIROC-ESM-CHEM_historical_r1i1p1-days_prcp_abv,MIROC-ESM_historical_r1i1p1-days_prcp_abv,MIROC5_historical_r1i1p1-days_prcp_abv,MPI-ESM-LR_historical_r1i1p1-days_prcp_abv,MPI-ESM-MR_historical_r1i1p1-days_prcp_abv,MRI-CGCM3_historical_r1i1p1-days_prcp_abv,NorESM1-M_historical_r1i1p1-days_prcp_abv
1984,2.633215,10.148986,12.098093,7.869442,5.2445693,6.294439,5.0028567,6.7533545,7.200523,4.33009,7.4114723,7.949597,3.8329813,6.6355405,4.4070144,4.9697614,6.817191,4.1824694,4.6489263,7.5858393,5.77099
1985,4.8828015,3.3740494,5.1617455,6.551838,4.0732207,10.670238,4.4825788,8.540414,7.5172586,7.509787,4.9257026,8.11314,4.8956103,9.307635,4.025819,8.862541,4.942322,8.487083,6.4329586,5.7152023,5.0796285
1986,7.1142006,9.477269,8.991913,7.574724,11.722607,6.382465,4.7618694,1.0600294,4.392176,5.782714,8.164649,14.540509,8.927131,5.8543067,5.193607,10.547644,13.763425,3.0182428,6.5040402,2.9583313,4.930608
1987,8.79209,4.4985447,7.707343,8.118058,8.38818,5.045638,8.850803,6.344561,7.1947927,7.1157904,10.972512,6.849331,6.7892914,9.541139,8.712273,7.147437,5.8381734,4.991682,4.8363748,3.6195683,5.479578
1988,8.6043625,11.471706,9.648799,8.204387,0.90114284,5.164725,7.4895554,4.42059,5.140638,8.0706415,8.438005,6.337995,5.857279,3.84524,9.362174,4.9435024,4.844874,7.102363,6.6544657,8.2947035,6.040235
1989,8.115676,7.287988,7.9275284,6.50664,5.100098,7.440462,2.7861998,8.203014,5.484894,9.121751,7.419131,3.3308651,9.875548,5.101512,8.709114,4.855068,7.0246053,8.52956,6.309826,7.678466,9.613128
1990,7.8254113,8.850677,8.483587,5.4212375,7.469386,4.9644575,4.925686,4.839249,6.2081246,6.8015428,6.415744,5.005696,7.0096803,8.170746,7.614907,8.200437,6.9083166,11.962807,7.397853,4.828588,11.056584
1991,1.5969409,5.3101807,6.029644,7.495853,1.8013465,6.5163894,3.2092776,4.3723583,6.646257,6.080418,6.5943747,2.0690563,5.814482,4.1971273,3.9120195,7.614543,8.601769,8.3559065,8.199355,9.971383,5.388733
1992,5.9571557,10.37715,7.5934997,7.0950203,8.77769,3.2337117,6.6874943,6.8092327,6.0426083,7.650585,11.93011,4.8369565,4.508602,8.195666,7.478698,2.92003,8.399328,1.857262,6.3443594,5.6881714,6.011354
1993,3.9502058,6.3963933,4.2249193,8.515443,12.178749,5.9257236,2.8367615,1.8566282,2.2922695,4.27016,4.5245004,5.747716,10.5931015,8.667826,7.0835776,9.078478,7.64981,5.801245,10.253667,7.272038,6.9120173
