year,ACCESS1-0_historical_r1i1p1-growing_degree_day,bcc-csm1-1_historical_r1i1p1-growing_degree_day,BNU-ESM_historical_r1i1p1-growing_degree_day,CanESM2_historical_r1i1p1-growing_degree_day,CCSM4_historical_r1i1p1-growing_degree_day,CESM1-BGC_historical_r1i1p1-growing_degree_day,CNRM-CM5_historical_r1i1p1-growing_degree_day,CSIRO-Mk3-6-0_historical_r1i1p1-growing_degree_day,GFDL-CM3_historical_r1i1p1-growing_degree_day,GFDL-ESM2G_historical_r1i1p1-growing_degree_day,GFDL-ESM2M_historical_r1i1p1-growing_degree_day,inmcm4_historical_r1i1p1-growing_degree_day,IPSL-CM5A-LR_historical_r1i1p1-growing_degree_day,IPSL-CM5A-MR_historical_r1i1p1-growing_degree_day,MIROC-ESM-CHEM_historical_r1i1p1-growing_degree_day,MIROC-ESM_historical_r1i1p1-growing_degree_day,MIROC5_historical_r1i1p1-growing_degree_day,MPI-ESM-LR_historical_r1i1p1-growing_degree_day,MPI-ESM-MR_historical_r1i1p1-growing_degree_day,MRI-CGCM3_historical_r1i1p1-growing_degree_day,NorESM1-M_historical_r1i1p1-growing_degree_day
1984,660.2655,692.36597,717.00836,609.5388,558.5084,808.57495,784.5912,721.8515,588.8155,701.6476,588.6829,706.63385,612.45654,611.248,684.96967,542.626,624.35297,724.95764,811.24005,594.63824,706.3834
1985,541.32324,736.81995,757.5873,588.75885,726.06256,618.9306,673.90497,645.9981,662.93384,727.80194,728.93604,659.21295,702.1309,613.6783,739.3691,619.6369,647.2966,665.08386,648.8786,778.6993,724.7135
1986,748.31714,814.846,802.6288,787.3741,701.6293,647.35846,640.13025,670.9986,760.26294,742.00574,713.63965,741.75824,761.5425,810.35834,734.70166,634.96606,667.5131,673.17487,649.8873,704.245,641.24097
1987,633.56244,792.9197,675.9157,704.8461,706.90454,724.00146,625.9048,707.8059,640.10455,758.557,655.0985,751.68115,707.5953,794.99005,674.0417,603.758,691.3814,698.7447,803.72784,627.70874,798.5371
1988,704.2033,670.14294,743.7849,676.4867,688.81824,697.18835,744.799,565.9078,553.05707,761.8526,671.6624,734.322,939.07166,684.2539,633.29254,739.1674,636.3802,676.1784,725.9381,650.47046,735.9856
1989,698.1932,679.16943,673.43536,730.1654,869.4233,730.8026,681.6124,702.84845,677.79156,671.5696,743.7117,808.74634,871.93066,833.24414,706.31714,698.0572,780.47736,775.5786,658.7671,655.56506,734.9471
1990,755.86523,767.8903,838.57605,692.10077,776.61346,740.4729,654.9864,798.3133,929.42053,642.32336,712.54663,734.52155,754.052,796.3348,631.97577,699.2447,639.985,782.55176,776.70435,675.8188,836.73425
1991,750.82495,876.0294,608.86816,722.0077,769.09894,765.3159,692.7594,725.562,683.0173,805.24835,806.6176,686.9135,782.353,800.10834,710.4026,701.8822,607.8623,853.7053,834.4687,688.8589,811.21924
1992,731.0927,551.8119,549.2675,598.85706,608.61707,606.75214,614.0355,631.6081,628.79767,667.71075,583.3596,684.9871,849.8198,656.8156,545.2803,605.3984,596.58105,752.82965,682.46924,659.7053,613.00024
1993,677.1742,675.4225,626.7817,604.0708,605.36676,661.25934,706.32965,706.887,828.6779,689.2611,753.2071,651.3737,732.91943,803.0069,655.6338,651.5093,653.9631,684.76074,700.5634,748.21356,634.74805
