year,ACCESS1-0_historical_r1i1p1-days_tmin_blw,bcc-csm1-1_historical_r1i1p1-days_tmin_blw,BNU-ESM_historical_r1i1p1-days_tmin_blw,CanESM2_historical_r1i1p1-days_tmin_blw,CCSM4_historical_r1i1p1-days_tmin_blw,CESM1-BGC_historical_r1i1p1-days_tmin_blw,CNRM-CM5_historical_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_historical_r1i1p1-days_tmin_blw,GFDL-CM3_historical_r1i1p1-days_tmin_blw,GFDL-ESM2G_historical_r1i1p1-days_tmin_blw,GFDL-ESM2M_historical_r1i1p1-days_tmin_blw,inmcm4_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_historical_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_historical_r1i1p1-days_tmin_blw,MIROC-ESM_historical_r1i1p1-days_tmin_blw,MIROC5_historical_r1i1p1-days_tmin_blw,MPI-ESM-LR_historical_r1i1p1-days_tmin_blw,MPI-ESM-MR_historical_r1i1p1-days_tmin_blw,MRI-CGCM3_historical_r1i1p1-days_tmin_blw,NorESM1-M_historical_r1i1p1-days_tmin_blw
1960,3.7152007,4.1373973,7.1271687,7.007317,2.9823456,6.909816,1.6197499,0.45470497,2.152479,4.0648518,10.331928,3.0697596,5.5904326,8.362824,1.4759792,8.368614,0.046817146,0.86549026,4.961872,9.626799,6.4734592
1961,2.8686533,2.0417976,11.347383,2.683305,2.911015,8.629539,2.243676,3.9580107,0.44697645,3.9466677,14.72156,10.814657,6.409834,6.3656936,4.6556544,12.860848,1.4781973,6.5406084,2.1645627,8.707301,6.399357
1962,3.772231,8.073076,7.286688,10.4415655,3.6684906,11.251795,2.397018,1.2058376,2.3792222,2.330426,0.49513346,10.989115,6.5565763,14.735106,5.8920674,5.31103,7.5902224,4.9801717,10.191595,7.1068554,1.5400194
1963,6.4520373,8.899468,6.08489,2.0527472,2.0342097,10.544945,0.51125556,0.19435698,0.98701257,0.16350837,2.1238809,8.507227,3.20897,4.997797,8.577937,5.412394,10.568861,13.887991,3.7227223,4.371745,0.40280607
1964,10.679581,11.097293,6.7136602,1.1911062,8.249138,9.929558,6.2403455,11.657995,2.943242,3.586833,1.3161037,5.3523345,19.53825,1.0213357,3.4074793,3.8003745,4.9542284,9.028181,0.40468353,17.707037,1.4405721
1965,11.546641,2.8182704,10.689651,7.3374352,7.3145795,5.03246,4.8229003,17.985035,4.1896195,0.8049474,3.4097333,11.9052515,10.121017,4.5315695,0.9823085,14.5547,0.9607904,3.186043,11.319788,4.664136,14.766325
1966,7.9839373,7.528776,7.5662107,7.707999,1.8078715,2.6388416,0.40706477,4.98552,20.404295,1.029438,5.28054,7.440335,3.5944421,3.066959,2.475609,0.92724264,0.6392961,13.456967,5.9598017,4.6913295,4.642062
1967,4.915472,2.644835,10.745015,9.018344,3.3270874,1.3908582,7.256544,5.0207314,10.557353,14.161532,3.0987005,4.5918174,6.848146,5.5301313,1.2174593,2.5447268,0.8747751,10.748812,4.835932,5.6662607,5.584041
1968,6.505736,10.087682,7.5849414,8.600584,4.9262857,6.345625,6.329913,3.4411485,12.942619,2.3809464,0.64566725,3.0026126,2.5232596,5.1856256,1.10064,3.3222709,5.342954,5.3704157,9.767554,3.1903021,8.115142
1969,9.18214,5.1970587,9.090448,7.147015,10.721961,11.988501,12.084512,5.6126866,4.403841,10.473192,6.2802205,7.241995,3.6837716,5.1015344,0.90644234,6.0249505,0.8995956,8.248182,5.379811,0.82130307,0.6130703
1970,11.394549,9.637743,4.1595907,4.7716937,7.3813076,8.399034,2.8339374,3.6153774,3.2697768,0.25873142,2.7130468,9.131368,0.5441387,4.414543,6.676415,4.0894265,8.809566,2.9366002,3.7938788,14.360771,5.0984654
1971,5.6283145,7.4795723,7.6568117,4.501654,4.87651,9.567488,8.034044,5.700307,6.4457135,2.965649,10.122475,11.145322,3.849109,0.04277674,3.4560187,3.1152475,3.3990011,3.7695272,10.906919,11.008163,4.9635973
1972,6.69594,6.0699005,4.990555,13.700601,5.8277097,2.1414514,1.9186013,7.079753,2.1936312,1.2417157,4.8830953,6.397073,2.1051733,4.1369386,7.7038884,7.247724,1.5697631,6.410949,5.406584,5.169164,0.8659816
1973,2.0382495,0.65611863,0.25313494,8.8586,13.791359,8.960653,3.1122198,1.7956359,1.6049522,5.465776,6.350332,3.257863,10.068302,12.871298,2.48581,1.5019543,4.9403014,1.0705864,4.677347,0.884932,8.120892
1974,3.1822822,4.1835737,7.1182485,3.9376683,4.032903,2.1402783,13.062079,16.411045,12.779173,9.708352,6.381258,6.266681,8.735031,9.313543,8.71608,4.512433,5.606386,3.5893135,12.612102,6.4804626,6.6641836
1975,2.8153741,4.3800516,2.4657066,5.198658,1.8157526,3.5397816,0.8647626,2.5044725,1.150117,9.475653,4.677932,1.3613241,13.242261,7.6608944,11.685066,6.7387657,12.758047,6.5864754,13.697732,6.932981,6.6529355
1976,6.0329905,7.515735,1.7695141,3.338222,7.8793426,1.7000653,13.250018,20.182428,7.667202,0.82778704,1.0394027,10.927641,3.1103034,6.47171,0.6224444,7.942071,0.54930913,0.8396142,4.5970902,2.384375,1.1392936
1977,7.016135,2.0210621,3.6446316,8.749659,11.982409,1.4387853,5.5494413,11.194106,6.225868,4.574468,2.6795816,5.429012,8.852564,0.58487624,1.2097151,5.057986,3.720918,5.6327076,1.2665756,17.954134,11.193232
1978,4.4748125,2.5654066,5.2613525,6.5955157,0.66205937,4.3078575,4.861178,0.8228723,2.6414704,6.1800303,4.935081,4.274962,2.2827287,3.5247884,4.9425416,3.189284,2.0478728,7.365145,3.228332,0.1816232,9.387748
1979,6.1251173,8.737225,5.540488,11.75131,1.1048847,3.9739406,19.930155,13.507943,0.040463194,0.6233839,7.896437,9.499621,4.911702,1.8391526,1.9657049,0.7675658,2.5157845,5.4112625,5.752278,4.3301687,3.2535813
1980,2.33851,3.6239338,7.853878,6.956256,9.707771,4.25969,1.2686391,6.201745,6.8807654,7.7997766,2.784725,14.419219,7.791274,1.3532016,1.2151207,0.583366,3.721102,9.58077,7.9868,6.343821,7.7153563
1981,5.0693808,6.2261124,6.737431,1.862868,3.954444,0.94259584,2.181632,9.793791,4.0791564,7.448974,8.404381,4.8781357,5.691603,0.84371775,1.7507836,3.400685,5.9274244,4.476784,7.933342,6.4701715,1.8384583
1982,5.1551423,8.506514,16.278936,7.5761805,4.6770506,7.8001814,2.845751,7.239749,8.166145,0.47445548,5.0711913,13.4269905,6.8696346,1.2518256,2.9566038,11.615211,10.3329115,3.1315477,19.492231,2.2322059,5.779594
1983,10.097426,10.35933,4.688848,1.8178142,9.283129,4.91417,8.860582,5.97195,1.4249797,9.339483,3.1566012,5.817685,10.307801,8.026511,7.079687,2.3273828,4.468053,5.392551,5.241383,7.7970204,7.2511835
1984,5.564921,5.592255,4.3896136,7.138764,8.83003,1.9474732,6.349872,2.0452807,2.4512372,7.058589,1.5027236,4.533724,11.889087,2.9634197,3.5145655,8.184482,12.394829,4.805753,4.252068,4.269417,6.697327
1985,10.520931,2.7025337,6.152846,3.2184741,2.9203086,4.8377542,5.391099,3.6793892,2.3128855,7.1809444,0.68296385,1.0547866,0.839351,10.508482,5.4388423,11.223792,1.1800656,1.4718535,2.1827645,14.282192,9.021475
1986,5.5536394,4.545641,4.7694583,7.957257,0.2755824,1.9662008,5.530411,0.25102004,0.74086857,4.053924,0.042924713,2.3250375,5.446763,19.65518,0.053950924,5.153787,0.2766671,0.6786889,5.591728,7.026058,1.4358392
1987,11.538895,1.0852654,15.239521,5.2546787,8.924055,1.942603,2.2922535,0.04277674,4.0820117,1.3344243,0.8103977,4.3368053,3.7143378,2.1419978,1.0377918,3.2889383,0.055218812,6.108454,4.161071,9.7287035,6.9932504
1988,4.749171,6.032999,1.29902,5.1351504,13.738726,0.88913834,5.8797135,6.5409756,2.8530035,7.5400295,2.4135485,2.8713179,4.7616243,9.543746,7.8915267,2.786995,1.2870599,8.173257,8.594727,2.528576,12.03734
1989,4.792645,3.730893,6.4772425,2.234929,7.56805,7.632206,2.9403946,4.6128116,1.3843613,3.6251318,2.2883365,13.753275,8.817021,2.2416184,14.093052,3.2670763,2.9056237,0.7778762,6.3933067,3.3384814,1.5389925
1990,8.286836,8.123868,4.810086,2.4315705,10.743702,1.4827943,3.8154294,12.276912,0.82161415,4.033791,0.46815428,11.832043,4.573614,1.3289524,1.7802955,11.538404,2.65383,2.5226378,5.8000903,4.727049,4.4687467
1991,2.0455928,3.6255827,3.2799659,2.0144296,1.7502918,3.6313977,5.855987,0.61781836,1.8704967,1.3358847,0.764582,3.155785,1.2909191,1.8637539,5.79889,0.0,5.266421,12.496661,2.3252182,4.8471704,2.4726634
1992,6.7709312,11.32355,3.4415917,3.37011,6.677011,6.61206,1.097351,13.0838,7.3221135,5.3278337,3.763578,10.03977,3.2771323,14.792907,0.1927974,1.6479065,7.080755,4.4725876,1.9773309,11.700944,17.184172
1993,4.518783,2.6844327,1.4340942,1.5418433,3.1111622,8.636212,2.9771664,5.4687924,2.8869603,9.0929365,0.4558697,6.190972,2.668797,5.181912,6.705252,2.3467164,6.0366306,6.500653,5.382678,2.7302678,5.429752
1994,8.403812,8.305279,3.6751845,2.608065,2.697855,5.1547866,2.9407256,2.7206194,10.158193,2.4057965,0.026975462,2.4880166,3.0013232,5.7781434,3.5091374,7.877246,5.6103587,4.0795546,7.3504434,14.099133,8.1291685
1995,7.092496,6.0090294,1.8806447,5.820637,0.029289013,4.7719965,4.829524,2.2921913,2.5533123,6.039495,5.9855375,6.815232,17.008915,5.392699,10.889145,4.616199,0.026975462,0.36145857,4.045489,3.2362876,8.96253
1996,5.522834,5.5889406,14.222948,2.3426805,2.5023024,5.5821776,2.0543284,2.4365852,4.1287107,0.63355416,3.7293756,9.988643,6.275762,0.3701343,6.17727,2.713637,3.453053,7.0592318,7.657062,6.049515,9.33631
1997,3.6529458,5.9422464,3.4593937,6.9999847,6.665084,5.3169966,5.2097144,7.0699773,0.34733447,1.1983023,4.2906346,6.7321067,10.017966,0.59800565,0.84650856,4.0536885,2.092265,1.065118,5.1086435,7.5060635,13.77284
1998,8.413669,10.707963,7.39238,3.0939898,3.5748003,5.127478,3.1739671,1.257005,6.308682,2.2588854,0.14886221,12.270256,5.623586,0.013487731,5.598311,0.73480034,5.4613466,3.344718,5.166405,3.7187963,2.1405532
1999,5.7523375,5.482033,0.15466449,5.914958,4.256376,2.6842759,0.51324934,1.0726788,5.783703,2.3100057,0.26666045,10.912825,3.251712,1.4286767,3.428364,1.8799448,1.9322357,9.182972,2.8166535,8.083736,2.269242
2000,0.0697522,5.9594083,3.9909606,6.7108355,0.34452558,1.9698422,0.6042392,2.4113164,2.948521,1.6924863,0.6412011,5.8092237,2.1938488,8.507776,1.986161,2.811203,0.90731066,5.2371225,2.5834804,0.8323741,10.387417
2001,6.2007246,1.0848194,12.043687,9.92019,0.5752454,8.324828,4.7147746,3.5746562,7.036102,1.3516048,5.281176,7.4752326,1.5320379,4.531526,6.5299854,4.041014,3.6120737,3.5957036,1.6110027,3.7891169,2.534684
2002,1.1392347,4.3660975,1.600523,3.9996662,0.3249726,6.8796263,10.585612,2.4545946,6.2061687,2.615957,5.307191,5.0457726,2.5939662,2.4160948,4.0850954,0.74574053,0.49414742,1.8602375,8.690069,5.5186553,3.1627152
2003,6.240112,2.4007626,9.303126,5.7398634,1.1347092,4.026985,0.01580128,3.603311,2.1579516,1.2386545,2.9779062,7.996101,2.844973,5.6046653,2.1636193,3.669747,0.2623486,2.331144,0.4245651,8.015112,9.537232
2004,13.496694,16.684761,5.713711,2.7975328,7.7312856,6.3238616,8.121194,0.09375617,2.809831,2.880125,0.5075807,12.253907,3.6843135,3.4724782,3.5334046,2.079351,0.08873046,21.624262,1.79119,4.6437125,8.605793
