year,ACCESS1-0_historical_r1i1p1-longest_run_tmax_abv,bcc-csm1-1_historical_r1i1p1-longest_run_tmax_abv,BNU-ESM_historical_r1i1p1-longest_run_tmax_abv,CanESM2_historical_r1i1p1-longest_run_tmax_abv,CCSM4_historical_r1i1p1-longest_run_tmax_abv,CESM1-BGC_historical_r1i1p1-longest_run_tmax_abv,CNRM-CM5_historical_r1i1p1-longest_run_tmax_abv,CSIRO-Mk3-6-0_historical_r1i1p1-longest_run_tmax_abv,GFDL-CM3_historical_r1i1p1-longest_run_tmax_abv,GFDL-ESM2G_historical_r1i1p1-longest_run_tmax_abv,GFDL-ESM2M_historical_r1i1p1-longest_run_tmax_abv,inmcm4_historical_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-LR_historical_r1i1p1-longest_run_tmax_abv,IPSL-CM5A-MR_historical_r1i1p1-longest_run_tmax_abv,MIROC-ESM-CHEM_historical_r1i1p1-longest_run_tmax_abv,MIROC-ESM_historical_r1i1p1-longest_run_tmax_abv,MIROC5_historical_r1i1p1-longest_run_tmax_abv,MPI-ESM-LR_historical_r1i1p1-longest_run_tmax_abv,MPI-ESM-MR_historical_r1i1p1-longest_run_tmax_abv,MRI-CGCM3_historical_r1i1p1-longest_run_tmax_abv,NorESM1-M_historical_r1i1p1-longest_run_tmax_abv
1960,0.5107573,2.0928652,0.9167187,0.20095652,0.0034171303,0.33821586,0.0,0.17355347,0.0,0.77341425,1.0690603,0.37451,0.7395678,0.31913543,0.23575015,0.010251391,4.648195,0.7214568,0.524997,0.0955052,0.0
1961,0.17682263,1.4784677,0.44360426,0.0068342607,0.0,1.1348617,1.182018,0.0034171303,0.084609576,1.3176243,0.0034171303,4.5174212,0.8304265,2.9157484,0.41108486,0.38817853,1.1856298,0.93688196,1.1244321,0.010251391,0.6135293
1962,0.020493463,0.11599866,0.13635348,3.3820443,0.0,0.43647406,0.86535436,0.024058564,0.09535723,0.3709449,0.21097529,1.0628062,5.5223885,1.5032067,0.09535723,0.7740581,0.2928213,1.099023,1.0610857,0.47996134,0.42816117
1963,0.8016762,0.0034171303,1.2953624,0.727725,0.5776561,1.205614,0.0034171303,2.424911,0.729927,0.16118233,2.5524085,0.29949826,0.0034171303,0.53881353,0.27217984,0.8160955,0.024058564,0.36411995,0.70985526,0.6121988,0.0034171303
1964,3.9415772,0.19071446,0.28242192,0.0034171303,2.547324,0.0034171303,4.1999106,0.0034171303,0.7112147,0.0,0.017076332,0.37792712,0.0,0.11243356,1.0016723,0.020493463,0.4386261,0.718049,2.554476,0.38149095,0.6416571
1965,0.0034171303,1.8956842,0.0,0.122684956,0.0,0.46964392,1.2043896,0.37095422,0.26876274,0.010251391,0.22145931,0.4229628,0.0034171303,0.19071446,1.9642985,0.0,0.0034171303,0.0,2.9597132,0.8160955,0.15761723
1966,0.0034171303,0.3811963,0.66225636,0.19048183,0.3811963,0.23566549,0.2653456,0.0034171303,1.5652223,1.6078013,0.26549357,1.0003366,3.1378436,0.12159603,0.0,1.2552587,0.35728568,0.42979708,0.37451,1.1851512,0.58604157
1967,1.4381258,0.46971926,0.44687343,0.45355037,0.19389896,0.33223787,0.68036556,1.2172933,0.0,0.5478098,2.2827437,0.11832687,0.75924945,0.027327724,0.0034171303,0.020493463,0.0,1.8266789,0.023910593,0.09877436,0.45270342
1968,0.0034171303,1.1188731,0.45270342,0.39500347,0.5372432,0.44586915,0.0034171303,1.009934,0.0,0.40083346,1.0611932,3.514926,0.46971926,1.3257676,0.0,0.28598702,0.38452876,0.52009195,0.30656514,0.4767015,3.092543
1969,0.19071446,0.39144766,0.09877436,0.33314535,0.6953958,0.10560862,0.0034171303,0.122684956,0.8222864,0.39143836,0.0034171303,0.0034171303,0.29964623,0.7389138,0.0,0.0,0.0068342607,1.6098622,0.020641433,2.102996,0.0068342607
1970,1.7026249,0.0068342607,1.9761966,0.61437905,0.0069822315,0.6817068,2.5152695,0.43903488,0.21804218,1.8533503,0.0068342607,1.193642,1.1143479,0.020493463,0.0034171303,0.0068342607,0.3616103,1.3453466,1.1566246,0.962934,1.2542479
1971,0.0068342607,0.0,1.4771411,0.6082761,0.09535723,0.0034171303,0.020493463,0.5962204,1.9268601,0.46986723,0.09535723,0.47620523,0.809423,0.39002532,0.0,0.0068342607,0.0068342607,1.5167522,0.40083346,3.3116133,4.022892
1972,0.48003113,0.5704642,0.023910593,0.6816193,0.20779079,0.3426279,0.5284235,1.4797082E-4,0.0,0.42623198,0.35743368,0.33970377,0.45285138,0.4088235,0.09877436,1.200393,0.0,0.3056242,0.38000163,0.51475495,0.10575659
1973,0.714381,0.45255828,0.102191485,0.41876608,0.43715742,0.10560862,2.0185058,0.05528708,0.65279627,0.0069822315,0.0034171303,0.09877436,0.78696454,0.6405501,0.0068342607,0.46595383,0.42273018,0.8271529,0.7689199,0.735264,0.0068342607
1974,0.0034171303,2.2262094,1.59875,0.6627619,0.5149029,0.023910593,0.5040385,0.1769706,0.10210683,0.0,0.28242192,0.4193977,1.2458059,3.4185343,0.49719495,0.010399362,0.0034171303,1.0948677,2.633033,0.3447666,1.311031
1975,0.15746926,0.1906298,1.9612557,0.0034171303,0.0,1.0687768,0.09877436,0.84902984,0.0069822315,0.0,0.28242192,2.8877485,0.7113627,0.84869736,0.5924554,0.40766773,1.6351207,0.73534864,0.37792712,1.1908563,0.010251391
1976,0.4057385,0.89550567,0.0,0.020493463,0.0,0.3056242,0.0068342607,0.0,1.4187325,0.3607028,1.3569651,0.575379,0.18729733,0.0,0.0034171303,0.19071446,1.4349618,1.4088207,0.43156898,1.0147734,0.4926889
1977,0.0034171303,0.0068342607,0.10210683,0.0,1.0392369,0.0069822315,1.1685023,1.3050064,0.85246474,0.22663859,1.3023957,0.9412429,0.003713072,2.9896643,0.3948555,0.5684936,1.6089823,2.4123085,0.9880598,1.8169717,0.09892233
1978,0.39158633,0.0,0.0034171303,0.5547497,0.08161337,1.2391663,1.7011048,0.31913543,0.20095652,0.82729805,0.48685607,0.8015514,0.0,0.1769706,0.8099891,0.0,0.53871673,1.6233344,0.6722242,1.7861465,0.11258153
1979,0.0034171303,0.0,0.32760558,1.750735,0.48935643,0.0034171303,0.5435546,0.37792712,0.0068342607,1.6757637,1.3662294,0.21803287,1.2589984,1.6319686,1.7336462,0.22144999,1.8994658,0.6562134,1.0220945,0.78117347,3.145066
1980,0.0034171303,0.37095422,0.93688196,0.0919401,0.31913543,0.0034171303,0.0034171303,1.0828443,0.0034171303,0.8326253,0.0034171303,0.21653517,0.6851444,0.7119395,0.7318079,0.26876274,0.3948555,0.7282306,1.9484413,0.010251391,0.29523414
1981,2.2848556,3.4625425,1.747723,1.6567441,2.7733672,0.9504006,0.94902533,0.37436202,0.27915278,0.0034171303,1.0720378,0.7677907,0.81339693,0.0068342607,0.45228532,1.4654987,1.1377027,0.11941579,0.614799,1.290781,0.13634415
1982,0.7182844,0.0034171303,0.040986925,0.098689705,0.09535723,1.2400792,0.4765535,1.6679342,0.0034171303,1.9955591,0.0034171303,0.38802123,0.09565317,0.2860717,0.3640353,0.37777916,0.020493463,0.9955257,0.6055308,0.017085653,2.0982988
1983,0.9292598,0.09535723,0.09892233,1.7047141,0.0068342607,0.0034171303,0.013668521,0.23233302,0.0034171303,2.178708,0.10233946,0.6848913,0.0,0.0,0.09535723,0.010251391,0.78455055,0.12610207,0.55146843,0.27559698,0.4038325
1984,0.55146843,1.6583934,0.0919401,0.0034171303,0.017076332,4.084938,2.0155938,1.7385817,0.10560862,0.0035651012,0.0,0.4831055,0.0034171303,0.0,0.8332776,0.0,0.034152664,0.54207337,3.094342,0.16080172,0.0850305
1985,0.020493463,0.0069822315,0.905485,0.09535723,1.0832455,0.4229628,0.6096666,0.37436202,0.3165746,0.61585754,1.3884345,1.0270236,0.80223113,0.0034171303,0.5181721,0.20437366,0.2754819,0.21477301,0.8741745,1.2616138,0.7621103
1986,0.84754956,2.7351046,2.3055553,6.2056923,0.0068342607,0.98608387,0.7454549,0.7044525,0.6305589,2.126727,0.35728568,0.0034171303,0.21462505,2.8954113,0.69325113,0.47328436,0.63601756,1.2931615,0.40588647,0.37451,0.6848913
1987,0.0068342607,2.707133,0.70576537,0.3984206,0.772918,1.1499401,0.010251391,0.9850015,0.11243356,0.54099375,0.0,3.484195,0.75903594,4.9307323,0.23551752,0.19389896,0.29949826,0.36426792,3.1466365,0.0034171303,1.4073744
1988,0.0068342607,0.023910593,5.6001425,0.5285621,0.44928628,0.09535723,0.7870828,0.09535723,0.29608113,1.2784661,0.09535723,0.91320413,2.6578095,0.0068342607,0.42816117,0.7420983,0.053233087,0.20437366,1.8377995,0.0034171303,0.09877436
1989,0.0034171303,0.027327724,0.32938683,0.57879615,2.4463384,0.79732484,0.0069822315,0.8669074,0.0,0.37436202,0.8686235,0.59662145,1.6855775,3.8872132,0.3029154,1.1169069,0.4629455,2.0064373,0.84819055,0.19048183,0.6794173
1990,0.7919891,1.044896,1.137818,2.5979295,0.72160476,2.285614,0.07819624,1.446568,4.616183,0.0034171303,0.4287928,0.91514283,2.693858,0.68289775,0.52173716,1.0082207,0.0034171303,1.9665259,0.98382634,0.8856531,2.4875195
1991,3.8887959,2.5271637,0.11243356,0.64000076,0.2892562,1.6937196,0.09535723,3.6454341,3.6878293,0.77942204,0.8246933,0.0034171303,2.4221783,1.2071232,0.0034171303,0.122684956,0.122684956,2.6454194,3.780588,0.0850305,0.55118465
1992,0.09877436,0.0068342607,0.8662618,0.115850694,0.0068342607,0.45013326,0.7676427,0.0035651012,0.11243356,0.28598702,0.0,0.0068342607,2.140734,0.0034171303,0.0850305,0.39741632,0.0,0.37792712,0.28598702,1.6051363,1.9158342
1993,0.11243356,0.30656514,0.20437366,1.3675435,0.0068342607,0.0068342607,0.29580817,0.28242192,1.714444,0.50698906,0.31672257,0.43305692,0.36085078,0.8531188,0.22144999,0.7259535,1.4264278,0.41954568,0.6014324,1.3108639,1.2382181
1994,0.5556572,2.2028892,5.81942,0.44003916,0.10901643,0.5892816,0.58079094,0.75077933,1.7020683,0.122684956,4.574228,2.594009,0.2825699,0.80210817,0.11599866,0.36085078,0.60811865,1.7192577,0.42637995,0.06894629,2.9871693
1995,0.58381855,0.3948648,1.2358053,0.0034171303,2.8787196,0.017076332,0.28583905,1.1705301,1.7675254,0.0068342607,0.2008812,1.3916963,1.989496,3.0037358,0.50251937,0.020493463,0.4071439,2.9884846,1.1909031,0.6102601,0.8132611
1996,0.79167616,0.102191485,0.8031548,0.8827359,4.156845,0.12610207,0.0034171303,1.2179239,0.29949826,0.43015596,0.0034171303,0.43101224,1.2396119,1.2863344,0.11243356,1.051535,0.0034171303,2.6575344,0.28583905,1.5410594,0.4820259
1997,1.1957941,0.0034171303,1.0752004,2.7309775,0.60067034,1.3510993,0.0034171303,0.99677396,0.45968565,4.724355,0.7112147,0.9066037,0.7673633,1.0507286,1.0925497,1.3710899,1.2544689,1.0535423,1.2961444,0.88464814,1.31486
1998,0.30306336,0.0034171303,0.09877436,1.1544455,1.1982125,3.6587288,0.3616103,0.0,0.13890499,0.3811963,0.0,1.8490838,2.4010458,0.6222737,0.8612181,0.4018377,0.0068342607,0.9989441,0.6431759,0.18729733,0.632673
1999,1.490658,2.9917448,0.8498496,1.0322392,4.0259104,1.2947643,0.010251391,3.2672215,0.9698192,0.27574494,0.78368616,0.6749023,5.462571,1.1637233,1.0173249,1.2992413,2.6885931,0.9731803,1.5749875,0.7807363,3.226877
2000,1.139315,0.5573106,3.2108493,2.1093857,9.944643,0.57481295,2.1038451,3.1053612,0.70875514,0.42281485,1.1941751,5.830553,1.5108553,0.62699664,1.8329117,1.1342651,3.0994651,1.3398397,1.7203996,0.6948604,0.19987693
2001,0.28583905,2.1029212,4.765245,0.39181894,0.48228058,0.0068342607,0.2351092,1.3721368,0.0,2.62962,1.7181634,2.229624,0.9890554,3.5777874,0.40921897,0.5343921,2.146274,1.5688349,1.8683304,1.2638873,0.81031644
2002,0.7635734,0.010251391,1.0408554,4.6304417,2.1978796,3.9363203,0.0068342607,0.6534366,0.77271396,0.010251391,0.4926889,0.29289663,0.67715245,1.2979258,0.115850694,1.2148083,1.9375303,1.4756672,3.79476,0.56034714,1.4612426
2003,2.5134268,0.64619356,3.3441846,2.2409155,1.9563085,1.6253955,0.3539412,1.269457,0.45369837,0.9362205,1.874894,0.5793125,3.6996737,1.5469474,1.4484525,1.0598487,1.2609637,2.2962656,1.5495241,3.9726431,0.38134426
2004,2.8688092,2.038598,5.3223515,3.4007092,0.8389825,1.216288,0.36426792,3.1415749,2.992738,0.10195886,2.4202268,7.430746,2.5550797,2.7317688,1.6337342,0.0035651012,1.1847355,2.0708308,3.431504,0.30547622,0.2825699
