year,BCCA_0-125deg_tasmin_day_ACCESS1-0_historical_r1i1p1,BCCA_0-125deg_tasmin_day_BNU-ESM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CESM1-BGC_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CNRM-CM5_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_historical_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_historical_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_historical_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_historical_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_historical_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_historical_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_historical_r1i1p1,BCCA_0-125deg_tasmin_day_inmcm4_historical_r1i1p1
1972,5.4648147,5.780502,5.443388,4.9202685,5.902502,5.2179723,5.284365,5.316999,5.838147,5.148841,6.051593,6.2829843,5.317274,5.334446,5.9869375,5.376369,5.7771664,5.6488585,6.215511,5.897686,5.588136
1973,5.776315,6.4620113,5.7879677,5.71375,5.4379044,5.287307,4.498529,5.798554,5.3170886,4.822483,5.3338675,4.946259,6.1492205,6.1235557,5.846431,5.3013973,5.830882,5.910587,5.060902,5.8228736,6.232361
1974,6.0025673,5.2498617,7.424774,6.8064666,5.395418,4.120378,5.54358,5.1986194,5.23844,5.557608,5.081305,5.4142823,5.1491933,6.2532516,4.96173,5.572443,5.3401465,5.7736697,5.5832386,5.0859528,5.6175656
1975,5.2685256,5.6808324,6.443276,5.860392,6.5133715,5.618481,5.29388,5.64439,5.577254,5.1164074,5.0439506,5.058848,4.5360036,4.8770013,4.7774014,5.254225,4.547344,5.8270144,5.8589973,5.153533,7.137425
1976,5.5941677,6.7789264,5.3429155,6.553154,4.679937,4.983778,6.1861916,5.385184,5.419803,6.760401,5.981991,5.355339,5.542659,4.9450016,5.002033,6.3775907,4.6509657,5.5791974,5.170921,4.2382164,4.9682384
1977,4.7127595,5.863883,5.680722,5.8549,5.362036,5.0059958,5.608884,5.9478426,4.691009,5.831106,5.421984,5.1737375,6.54163,5.7709136,5.30202,5.5944223,5.789111,4.87632,3.8060713,5.8563323,5.171931
1978,4.96248,5.6490607,6.5199494,5.9210563,5.714203,5.333388,5.059017,5.8918676,5.756436,5.2869587,5.785394,5.192687,5.6232586,5.574501,5.5598817,5.380447,5.347071,6.2656217,5.6445093,5.936012,5.9167495
1979,6.2425594,6.0454397,5.10443,6.0598783,4.19073,5.069692,5.2761083,5.766683,6.752796,5.569276,5.926493,5.639131,5.542821,6.761737,5.9365997,6.8017044,5.352556,6.2107353,6.2631035,4.8158436,5.450799
1980,6.0974116,5.223614,4.538601,6.284494,5.467638,5.424648,4.725116,5.817386,5.461711,4.9308257,5.414003,6.431799,6.294174,5.878589,5.97001,5.3683267,6.2728906,5.621745,5.172957,6.610901,5.092997
1981,5.3452344,5.705216,5.42592,5.627729,7.558446,5.3475704,6.0674586,5.746897,5.1678834,5.619217,5.751322,6.910927,5.777915,4.902114,5.9133687,6.006879,5.3480086,6.3627663,6.397947,6.1816626,5.810495
